Time,PV(W),Grid(W),Battery(W),Load(W),Battery SOC(%)
2024-08-13 00:00:00,0,0,146,146,35
2024-08-13 00:05:00,0,0,224,224,34
2024-08-13 00:10:00,0,0,140,140,34
2024-08-13 00:15:00,0,0,151,151,34
2024-08-13 00:20:00,0,0,152,152,33
2024-08-13 00:25:00,0,1,127,128,33
2024-08-13 00:30:00,0,0,129,129,33
2024-08-13 00:35:00,0,0,170,170,32
2024-08-13 00:40:00,0,4,149,153,32
2024-08-13 00:45:00,0,0,103,103,32
2024-08-13 00:50:00,0,5,90,95,30
2024-08-13 00:55:00,0,-8,269,261,30
2024-08-13 01:00:00,0,0,255,255,30
2024-08-13 01:05:00,0,0,255,255,29
2024-08-13 01:10:00,0,-1,328,327,29
2024-08-13 01:15:00,0,0,311,311,28
2024-08-13 01:20:00,0,0,144,144,28
2024-08-13 01:25:00,0,0,142,142,28
2024-08-13 01:30:00,0,0,132,132,27
2024-08-13 01:35:00,0,0,103,103,27
2024-08-13 01:40:00,0,0,219,219,27
2024-08-13 01:45:00,0,0,264,264,26
2024-08-13 01:50:00,0,0,257,257,26
2024-08-13 01:55:00,0,0,248,248,26
2024-08-13 02:00:00,0,0,244,244,25
2024-08-13 02:05:00,0,0,247,247,25
2024-08-13 02:10:00,0,0,3052,3052,24
2024-08-13 02:15:00,0,0,3400,3400,21
2024-08-13 02:20:00,0,0,3629,3629,17
2024-08-13 02:25:00,0,-2,3831,3829,12
2024-08-13 02:30:00,0,-4,268,264,12
2024-08-13 02:35:00,0,0,197,197,10
2024-08-13 02:40:00,0,0,197,197,10
2024-08-13 02:45:00,0,0,201,201,10
2024-08-13 02:50:00,0,0,316,316,9
2024-08-13 02:55:00,0,0,320,320,9
2024-08-13 03:00:00,0,0,151,151,9
2024-08-13 03:05:00,0,0,156,156,8
2024-08-13 03:10:00,0,0,157,157,8
2024-08-13 03:15:00,0,0,145,145,8
2024-08-13 03:20:00,0,0,145,145,7
2024-08-13 03:25:00,0,1,194,195,7
2024-08-13 03:30:00,0,0,204,204,7
2024-08-13 03:35:00,0,0,131,131,7
2024-08-13 03:40:00,0,3,117,120,7
2024-08-13 03:45:00,0,0,128,128,6
2024-08-13 03:50:00,0,0,139,139,6
2024-08-13 03:55:00,0,0,153,153,6
2024-08-13 04:00:00,0,0,206,206,5
2024-08-13 04:05:00,0,0,142,142,5
2024-08-13 04:10:00,0,0,143,143,5
2024-08-13 04:15:00,0,0,372,372,5
2024-08-13 04:20:00,0,0,345,345,4
2024-08-13 04:25:00,0,0,351,351,4
2024-08-13 04:30:00,0,0,301,301,3
2024-08-13 04:35:00,0,0,362,362,3
2024-08-13 04:40:00,0,-1,198,197,3
2024-08-13 04:45:00,0,0,192,192,3
2024-08-13 04:50:00,0,3,143,146,3
2024-08-13 04:55:00,0,0,150,150,3
2024-08-13 05:00:00,0,5,132,137,3
2024-08-13 05:05:00,0,0,213,213,3
2024-08-13 05:10:00,0,-2,221,219,2
2024-08-13 05:15:00,0,0,141,141,2
2024-08-13 05:20:00,0,0,129,129,2
2024-08-13 05:25:00,0,2,136,138,2
2024-08-13 05:30:00,0,0,96,96,2
2024-08-13 05:35:00,0,1,85,86,2
2024-08-13 05:40:00,0,-186,338,152,2
2024-08-13 05:45:00,986,-113,578,1451,2
2024-08-13 05:50:00,650,310,302,1262,2
2024-08-13 05:55:00,0,-120,3658,3538,1
2024-08-13 06:00:00,0,3545,0,3545,0
2024-08-13 06:05:00,10,3724,0,3734,0
2024-08-13 06:10:00,58,3937,0,3995,0
2024-08-13 06:15:00,36,270,0,306,0
2024-08-13 06:20:00,87,653,0,740,0
2024-08-13 06:25:00,107,272,0,379,0
2024-08-13 06:30:00,180,85,0,265,0
2024-08-13 06:35:00,176,15,0,191,0
2024-08-13 06:40:00,113,73,0,186,0
2024-08-13 06:45:00,97,3491,0,3588,0
2024-08-13 06:50:00,94,3632,0,3726,0
2024-08-13 06:55:00,103,157,0,260,0
2024-08-13 07:00:00,164,73,0,237,0
2024-08-13 07:05:00,223,24,0,247,0
2024-08-13 07:10:00,288,-38,0,250,0
2024-08-13 07:15:00,392,-145,0,247,0
2024-08-13 07:20:00,557,-321,0,236,0
2024-08-13 07:25:00,801,-495,0,306,0
2024-08-13 07:30:00,780,1,-649,132,0
2024-08-13 07:35:00,917,0,-791,126,2
2024-08-13 07:40:00,1334,1,-1217,118,3
2024-08-13 07:45:00,838,0,-708,130,4
2024-08-13 07:50:00,605,1,-467,139,5
2024-08-13 07:55:00,626,-1,-414,211,6
2024-08-13 08:00:00,680,-5,-467,208,6
2024-08-13 08:05:00,835,0,-688,147,7
2024-08-13 08:10:00,1015,2,-878,139,8
2024-08-13 08:15:00,0,122,0,122,0
2024-08-13 08:20:00,807,-2,-680,125,9
2024-08-13 08:25:00,882,-1,-750,131,12
2024-08-13 08:30:00,1121,4,2390,3515,10
2024-08-13 08:35:00,1555,2,2078,3635,8
2024-08-13 08:40:00,2159,-7,-1950,202,9
2024-08-13 08:45:00,1979,2,-1730,251,13
2024-08-13 08:50:00,3674,-16,-3404,254,16
2024-08-13 08:55:00,3711,-11,-3449,251,19
2024-08-13 09:00:00,4337,-44,-3991,302,23
2024-08-13 09:05:00,4652,10,-4373,289,27
2024-08-13 09:10:00,2693,-24,-2417,252,33
2024-08-13 09:15:00,1639,-1,-1392,246,34
2024-08-13 09:20:00,1168,6,-934,240,36
2024-08-13 09:25:00,1000,-14,-788,198,36
2024-08-13 09:30:00,1092,-3,-892,197,37
2024-08-13 09:35:00,1189,0,-1001,188,38
2024-08-13 09:40:00,1458,0,-1297,161,40
2024-08-13 09:45:00,1784,0,-1588,196,41
2024-08-13 09:50:00,1761,-4,-1568,189,43
2024-08-13 09:55:00,1656,2,-1465,193,45
2024-08-13 10:00:00,1930,-1,-1731,198,46
2024-08-13 10:05:00,2121,72,-1917,276,48
2024-08-13 10:10:00,1892,-6,-1512,374,50
2024-08-13 10:15:00,1805,2,-1517,290,53
2024-08-13 10:20:00,2128,12,-1863,277,54
2024-08-13 10:25:00,2501,1,-2271,231,57
2024-08-13 10:30:00,2428,6,-2239,195,59
2024-08-13 10:35:00,2086,-6,-1987,93,62
2024-08-13 10:40:00,1728,-3,-1633,92,64
2024-08-13 10:45:00,3338,-3,-3123,212,66
2024-08-13 10:50:00,3441,-7,-3280,154,70
2024-08-13 10:55:00,2211,-10,-2058,143,73
2024-08-13 11:00:00,3867,15,-3736,146,76
2024-08-13 11:05:00,3866,-92,-3636,138,80
2024-08-13 11:10:00,4284,-86,-4056,142,83
2024-08-13 11:15:00,3028,34,-2928,134,87
2024-08-13 11:20:00,2962,-34,-2734,194,90
2024-08-13 11:25:00,3454,5,-3250,209,94
2024-08-13 11:30:00,3380,-4,-3177,199,97
2024-08-13 11:35:00,3326,-3,-3124,199,99
2024-08-13 11:40:00,3307,-1058,-2059,190,99
2024-08-13 11:45:00,4391,-1937,-2102,352,99
2024-08-13 11:50:00,4551,-2087,-2110,354,99
2024-08-13 11:55:00,4680,-4258,0,422,100
2024-08-13 12:00:00,5652,-5396,0,256,100
